Id,SalePrice
2658,135526.76862859854
2718,187525.5946782605
2414,208767.69362277212
1989,114554.2557266159
625,178667.08592117124
333,91372.20131620206
1327,99728.51340937393
858,149492.06823275355
95,197245.50588590128
1568,160424.18628722988
2482,170525.9206180242
1364,112696.8382357239
2584,150646.15425186174
818,277532.5651222236
2673,158047.95790703886
2089,120274.18560580013
1297,162211.04807961092
790,109839.9884644507
2616,194871.71878913988
720,198565.95391412685
222,141675.64639398514
557,119481.30638321221
1148,209814.99738242954
2766,167997.51714112982
534,189553.03226493788
1452,110759.78898055258
630,133803.29248562944
2648,146598.09155349887
125,162473.85069856502
1904,37161.96545962617
1670,92968.77497462695
756,96580.12360663875
717,271701.9311407942
1032,166061.40772749367
852,214681.63960600842
1731,158150.64415127493
2639,127466.90616542904
2071,57568.995663438924
1267,121058.1459362976
1851,190761.41778139689
567,158422.1481570904
2439,213648.2008491077
1898,156411.90957499773
647,162899.93809271883
2256,248483.03959502536
979,115847.72140112054
1444,223952.37554252392
2485,112396.29651815817
157,116754.58158559131
88,127117.24663298507
2003,111039.17063061334
186,209306.46094019536
1425,258022.68285057822
2695,128470.43494478462
738,114111.26025687449
395,147557.6958997741
1353,164531.69719490025
1878,144862.4157994612
390,158751.2886312774
1456,251134.3314599865
1103,344347.59962597897
1387,134509.13933779032
2070,145545.26107166207
1199,175975.31868146884
2479,183256.80360506778
501,322343.9614536024
2362,96476.50021727872
1718,241209.45934774377
2188,88815.32543337194
1483,176728.0568021976
2557,68544.508045475
437,340060.03422870697
2224,207029.6706472861
1628,168606.72222457395
397,118171.92970448581
587,207653.52853409294
971,135651.54515320167
2611,147194.48056999338
1887,77576.33523336891
2399,380541.7950587721
2148,201690.18697660917
304,116936.55379079422
1997,140081.73693812662
2817,108160.39179108501
1431,189477.58680406108
427,357709.8801766314
263,116542.11467792513
598,188293.71278313955
2895,233246.69796508993
687,146382.37468990742
1822,130548.91813025589
2191,99736.89500838681
179,113726.16289316898
1009,219071.0795535777
2010,113583.24055069394
1991,145245.72422815743
1411,183716.33822423324
1721,246393.31355160184
1144,197391.12722132832
593,221473.91307274823
575,313450.2532971824
1249,186256.46320378012
1604,114107.54565596615
1064,472647.10105297726
1923,163435.75865144178
1988,111300.40234125336
2325,167913.69851717527
114,200137.22510533326
2700,183021.58318577125
217,145966.21247444313
343,187334.63301668444
386,234129.46121500735
2005,111740.46339723747
2908,130909.51727581979
1814,253459.86702301633
2446,470832.91340682784
208,152607.87250985904
1679,107481.76750078099
822,337258.1337946964
6,182356.26865361177
1781,407483.8695967834
2397,312168.6044071204
2340,292382.08957197866
1618,158623.68595810782
2843,155154.87056817662
1061,374773.5571223787
2786,112316.3520970135
1935,131655.89957649505
1341,113505.52958361607
521,267137.95756006776
2136,121587.01745292696
996,206632.9383365875
227,143240.1421900019
135,181046.368308002
1167,153829.11825052102
294,233395.60885618662
1776,193373.4242282121
540,177172.30573246896
1717,237583.4772075212
2303,112130.4469372303
116,198276.78115587682
127,126347.38883219787
1371,127506.67549811082
