Id,SalePrice
2658,152035.2228440371
2718,193915.40016165155
2414,199618.42165069503
1989,111759.48180288135
625,191480.40707067994
333,90431.61449919885
1327,104051.60794988938
858,143461.9465601897
95,200833.5411959655
1568,174959.97653555765
2482,169584.383269922
1364,121497.3531250545
2584,152628.26023299072
818,282718.804290454
2673,162046.26952831878
2089,126816.19999048498
1297,168194.91427112056
790,111085.76503104402
2616,213004.2277903458
720,192107.66267784627
222,133265.49693669088
557,120676.25247267226
1148,207903.60776172543
2766,164920.28498793242
534,195062.46354121563
1452,105694.34220882144
630,130822.80381725065
2648,132507.98460104188
125,153757.17409208172
1904,32719.144616704783
1670,100856.45697275468
756,94327.94857017009
717,253107.65721409058
1032,173079.4572700112
852,211847.29296202457
1731,169752.91041889496
2639,141740.20041355456
2071,109661.78878398205
1267,99483.12505028688
1851,193428.2983973975
567,149627.88267499034
2439,210831.80321522232
1898,161693.49902737152
647,159305.59933847224
2256,237390.38153534255
979,108843.7112527712
1444,221729.62935203954
2485,112186.74674579024
157,115990.64595612942
88,127911.94786121731
2003,104131.68318058935
186,202360.31088164763
1425,246451.40141239075
2695,124901.14445101947
738,103822.9616359974
395,156591.8154527793
1353,166356.8870991174
1878,151935.12775628932
390,171635.50622036157
1456,245173.1468798063
1103,330758.200674923
1387,144078.29672215285
2070,150788.24845966685
1199,188138.43452256534
2479,180204.3885669309
501,311692.1634825907
2362,86828.74649988452
1718,236172.8179704378
2188,69146.70649508259
1483,163387.5976052807
2557,63945.24952872412
437,325886.26807388186
2224,221812.80932650145
1628,166964.05104553734
397,120559.14155358972
587,212731.72553577472
971,148707.97173453018
2611,152727.6199915096
1887,79066.29695500724
2399,383426.755649238
2148,202800.61298682762
304,125147.05200334673
1997,137621.52200771414
2817,109924.74318648281
1431,187868.30541331845
427,363606.94694769394
263,114329.31057664996
598,188512.81334816862
2895,237411.44732238085
687,159530.05237628391
1822,130857.66552563442
2191,101044.27116690006
179,140006.9787529722
1009,213700.95057855116
2010,111294.7189765604
1991,144431.7815059115
1411,171754.03528863133
1721,249466.9722817227
1144,197050.17176174594
593,224296.2792964069
575,314737.0528455471
1249,190189.69262768712
1604,119576.67317999958
1064,492950.6513493435
1923,168402.2548293186
1988,100080.97102226189
2325,174101.83640573884
114,208021.3718534481
2700,193043.66634113842
217,190517.8561265465
343,194597.8034887846
386,234238.142116696
